class,NOAA_ar_num,event_date,start_time,end_time,peak_time
B1.6,11064,2010-05-01,2010-05-01 05:23:00,2010-05-01 05:31:00,2010-05-01 05:27:00
B1.0,11067,2010-05-01,2010-05-01 09:48:00,2010-05-01 09:59:00,2010-05-01 09:52:00
B2.0,11063,2010-05-03,2010-05-03 12:52:00,2010-05-03 13:02:00,2010-05-03 12:57:00
B1.0,11066,2010-05-03,2010-05-03 21:50:00,2010-05-03 21:56:00,2010-05-03 21:53:00
B1.7,11068,2010-05-04,2010-05-04 04:42:00,2010-05-04 04:49:00,2010-05-04 04:46:00
B7.2,11069,2010-05-08,2010-05-08 18:41:00,2010-05-08 19:14:00,2010-05-08 18:55:00
B1.1,11068,2010-05-11,2010-05-11 08:39:00,2010-05-11 08:47:00,2010-05-11 08:43:00
B1.5,11067,2010-05-11,2010-05-11 19:33:00,2010-05-11 20:42:00,2010-05-11 20:16:00
B1.3,11072,2010-05-22,2010-05-22 21:39:00,2010-05-22 21:52:00,2010-05-22 21:47:00
B6.5,11072,2010-05-25,2010-05-25 15:46:00,2010-05-25 15:55:00,2010-05-25 15:51:00
B1.0,11075,2010-06-02,2010-06-02 18:41:00,2010-06-02 18:50:00,2010-06-02 18:45:00
B1.4,11076,2010-06-06,2010-06-06 02:50:00,2010-06-06 03:01:00,2010-06-06 02:55:00
B2.0,11077,2010-06-07,2010-06-07 06:27:00,2010-06-07 06:34:00,2010-06-07 06:30:00
B1.4,11078,2010-06-08,2010-06-08 11:28:00,2010-06-08 11:43:00,2010-06-08 11:33:00
B3.8,11080,2010-06-12,2010-06-12 02:53:00,2010-06-12 03:03:00,2010-06-12 02:58:00
B5.0,11082,2010-06-17,2010-06-17 10:23:00,2010-06-17 10:47:00,2010-06-17 10:33:00
B1.3,11082,2010-06-21,2010-06-21 19:08:00,2010-06-21 19:14:00,2010-06-21 19:12:00
B3.4,11082,2010-06-25,2010-06-25 10:17:00,2010-06-25 10:25:00,2010-06-25 10:21:00
B1.0,11084,2010-07-01,2010-07-01 20:54:00,2010-07-01 21:01:00,2010-07-01 20:58:00
B1.0,11086,2010-07-06,2010-07-06 10:02:00,2010-07-06 10:16:00,2010-07-06 10:11:00
B2.2,11087,2010-07-07,2010-07-07 20:41:00,2010-07-07 20:48:00,2010-07-07 20:45:00
B3.0,11087,2010-07-10,2010-07-10 20:06:00,2010-07-10 20:24:00,2010-07-10 20:13:00
B3.4,11087,2010-07-13,2010-07-13 02:59:00,2010-07-13 03:15:00,2010-07-13 03:10:00
B3.1,11087,2010-07-16,2010-07-16 01:40:00,2010-07-16 01:58:00,2010-07-16 01:49:00
B5.5,11087,2010-07-19,2010-07-19 07:27:00,2010-07-19 08:36:00,2010-07-19 07:52:00
B2.8,11089,2010-07-19,2010-07-19 16:55:00,2010-07-19 17:00:00,2010-07-19 16:58:00
B5.7,11087,2010-07-22,2010-07-22 02:00:00,2010-07-22 02:09:00,2010-07-22 02:04:00
B6.9,11089,2010-07-22,2010-07-22 06:28:00,2010-07-22 06:36:00,2010-07-22 06:32:00
B3.8,1089,2010-07-22,2010-07-22 17:19:00,2010-07-22 17:30:00,2010-07-22 17:23:00
B2.3,11089,2010-07-25,2010-07-25 21:54:00,2010-07-25 23:59:00,2010-07-25 22:13:00
B3.8,11091,2010-07-26,2010-07-26 04:11:00,2010-07-26 04:18:00,2010-07-26 04:15:00
B8.1,11089,2010-07-28,2010-07-28 12:52:00,2010-07-28 13:15:00,2010-07-28 13:07:00
B6.0,11092,2010-07-29,2010-07-29 00:50:00,2010-07-29 01:57:00,2010-07-29 01:38:00
B4.7,11089,2010-07-31,2010-07-31 03:40:00,2010-07-31 04:19:00,2010-07-31 04:00:00
B1.8,11092,2010-08-02,2010-08-02 17:21:00,2010-08-02 17:30:00,2010-08-02 17:25:00
B6.6,11093,2010-08-04,2010-08-04 02:51:00,2010-08-04 02:58:00,2010-08-04 02:54:00
B2.8,11092,2010-08-05,2010-08-05 00:16:00,2010-08-05 00:39:00,2010-08-05 00:26:00
B5.7,11094,2010-08-05,2010-08-05 22:23:00,2010-08-05 22:30:00,2010-08-05 22:27:00
B5.7,1094,2010-08-05,2010-08-05 22:23:00,2010-08-05 22:30:00,2010-08-05 22:27:00
B5.6,1093,2010-08-06,2010-08-06 01:14:00,2010-08-06 01:57:00,2010-08-06 01:36:00
B1.8,1093,2010-08-09,2010-08-09 02:14:00,2010-08-09 02:37:00,2010-08-09 02:25:00
B1.6,11095,2010-08-09,2010-08-09 19:50:00,2010-08-09 19:56:00,2010-08-09 19:54:00
B1.9,11096,2010-08-10,2010-08-10 04:45:00,2010-08-10 04:55:00,2010-08-10 04:51:00
B1.9,1096,2010-08-10,2010-08-10 08:48:00,2010-08-10 09:25:00,2010-08-10 09:12:00
